timestamp,AAPL_open,AAPL_close,AAPL_volume,AAPL_vwap,MSFT_open,MSFT_close,MSFT_volume,MSFT_vwap,XOM_open,XOM_close,XOM_volume,XOM_vwap,AMD_open,AMD_close,AMD_volume,AMD_vwap,target
2022-11-28 05:00:00+00:00,145.14,144.22,69346522,144.782015,246.08,241.76,24809167,242.533758,110.66,109.81,23005291,110.615812,73.81,73.19,45447323,73.795473,141.17
2022-11-29 05:00:00+00:00,144.29,141.17,83790799,142.050897,241.4,240.33,17956313,240.275653,110.61,110.54,14441831,110.617946,73.62,73.39,51846449,73.589704,148.03
2022-11-30 05:00:00+00:00,141.395,148.03,111885406,145.153909,240.57,255.14,47502238,250.416157,111.54,111.34,23077921,111.147866,73.38,77.63,88382907,75.394634,148.31
2022-12-01 05:00:00+00:00,148.21,148.31,71250381,148.105003,253.87,254.69,26054508,254.358458,111.64,110.8,14381309,110.981783,78.31,77.48,59833354,77.388786,147.81
2022-12-02 05:00:00+00:00,145.96,147.81,65537445,146.85862,249.82,255.02,21528520,253.114101,109.51,109.86,15213260,110.235305,75.05,74.98,64377278,75.044409,146.63
2022-12-05 05:00:00+00:00,147.77,146.63,68826442,147.638418,252.01,250.2,23435294,250.679535,110.7,106.85,19273985,107.682509,74.54,73.62,47022185,73.92109,142.91
2022-12-06 05:00:00+00:00,147.075,142.91,64727240,143.790242,250.82,245.12,22463727,246.169729,105.9,103.88,21175030,104.70413,73.08,70.27,64965235,70.855914,140.94
2022-12-07 05:00:00+00:00,142.19,140.94,69705738,141.160137,244.83,244.37,20479475,244.461913,103.78,103.65,20027612,103.637616,69.53,70.14,59189143,70.2641,142.65
2022-12-08 05:00:00+00:00,142.36,142.65,62128338,142.515322,244.84,247.4,22611757,246.75179,106.28,104.42,21120802,104.94624,70.14,70.47,56745614,70.187413,142.16
2022-12-09 05:00:00+00:00,142.34,142.16,76109466,143.220726,244.695,245.42,20609242,246.220427,104.59,103.54,21293877,104.131167,69.49,68.59,59098267,69.552457,144.49
2022-12-12 05:00:00+00:00,142.7,144.49,70462654,143.006261,247.445,252.51,30665069,250.904274,103.83,106.09,20396087,105.479188,68.54,70.67,61129941,69.465125,145.47
2022-12-13 05:00:00+00:00,149.5,145.47,94179520,146.601647,261.69,256.92,42125640,258.096836,107.8,107.25,24169767,107.557367,74.87,71.65,72378777,72.639259,143.21
2022-12-14 05:00:00+00:00,145.35,143.21,81781989,144.254407,257.13,257.22,35220223,258.796362,107.99,106.46,17358738,106.825031,70.93,68.93,66804280,70.176733,136.5
2022-12-15 05:00:00+00:00,141.11,136.5,99500030,137.645266,253.72,249.01,35568093,249.573273,105.33,105.44,15318141,105.091909,67.604,66.53,58557045,66.703395,134.51
2022-12-16 05:00:00+00:00,136.685,134.51,160026698,134.946521,248.55,244.69,85882830,245.297282,103.69,104.7,54539740,104.598776,66.25,65.41,62354639,65.45255,132.37
2022-12-19 05:00:00+00:00,135.11,132.37,79592614,132.466679,244.86,240.45,29697185,240.675132,105.26,105.17,13599300,105.22591,65.12,64.59,46246911,64.299279,132.3
2022-12-20 05:00:00+00:00,131.39,132.3,77435044,131.848903,239.4,241.8,25185702,241.364367,105.17,106.69,14670557,106.708536,63.76,65.05,52053129,65.219073,135.45
2022-12-21 05:00:00+00:00,132.98,135.45,85928092,135.315015,241.69,244.43,23690333,244.032128,108.29,108.06,13554734,108.061913,65.43,67.68,44167575,67.126131,132.23
